 #	time	total energy	potential energy	kinetic energy	temperature	pressure	mean square displacement/6
   0.0000000000000000        1.4398213938615707E-004   0.0000000000000000        1.4398213938615707E-004   1.0063163928738166       -1.0887806630823343E-005   9.6188020185825753E-007
   100.00000000000000        1.9837151722354489        1.9836509172851529        6.4254950296069535E-005  0.44908910286996179       -1.0330131394528368E-005   3.3968278072250808E-004
   200.00000000000000        1.9837821253577821        1.9837490964832241        3.3028874557950388E-005  0.23084458980496281       -8.7401461776417271E-006   4.6912018367160267E-004
   300.00000000000000        1.9835684877958426        1.9834878713032182        8.0616492624284818E-005  0.56344278817966109       -9.1785225094603316E-006   4.3872933159351605E-004
   400.00000000000000        1.9836232657589423        1.9835513348812441        7.1930877698233683E-005  0.50273750404137652       -9.5621988560136997E-006   4.1328518392843184E-004
   500.00000000000000        1.9838506672320002        1.9837669934929516        8.3673739048508979E-005  0.58481041896267350       -9.4695616023647597E-006   3.9817986164829468E-004
   600.00000000000000        1.9844839849265727        1.9844137341255705        7.0250801002128192E-005  0.49099515372081459       -9.6497907235923842E-006   4.2574982702216939E-004
   700.00000000000000        1.9846500785179508        1.9845885402886927        6.1538229258191362E-005  0.43010146366042229       -9.2388551131179560E-006   4.4215536310510161E-004
   800.00000000000000        1.9843464797447821        1.9842628003006912        8.3679444090928646E-005  0.58485029250347120       -9.4824061679280890E-006   4.2065361503831726E-004
   900.00000000000000        1.9844173420504123        1.9843512985866802        6.6043463732025590E-005  0.46158933655971546       -9.5820870130370436E-006   4.3148726788219238E-004
   1000.0000000000000        1.9843206192368081        1.9842475597302158        7.3059506592397256E-005  0.51062568907953443       -9.3334721639678398E-006   4.2460869694313199E-004
   1100.0000000000000        1.9842184981649946        1.9841391922146150        7.9305950379576429E-005  0.55428317886960177       -9.6240054379054408E-006   4.1924937930859095E-004
   1200.0000000000000        1.9840148518825813        1.9839494519681289        6.5399914452522794E-005  0.45709145791763678       -9.4729703454164599E-006   4.3522147067023061E-004
   1300.0000000000000        1.9840940554262574        1.9840185366206755        7.5518805581978218E-005  0.52781416050206198       -9.4272057152409468E-006   4.2964452431279562E-004
   1400.0000000000000        1.9840216540333535        1.9839515361773379        7.0117856015691036E-005  0.49006597792322981       -9.5476738686202930E-006   4.2806507974560632E-004
   1500.0000000000000        1.9838977562699713        1.9838249538663522        7.2802403619239307E-005  0.50882875136456174       -9.4092462503915981E-006   4.1947546278926052E-004
   1600.0000000000000        1.9841416624340547        1.9840627249789873        7.8937455067401127E-005  0.55170770058514162       -9.5795121375442083E-006   4.1380109431045836E-004
   1700.0000000000000        1.9840078362891704        1.9839414640789175        6.6372210253050926E-005  0.46388700358021151       -9.4876956364863101E-006   4.2833403418348823E-004
   1800.0000000000000        1.9838780174265636        1.9838053464205065        7.2671006056989324E-005  0.50791039078567646       -9.3728048691068228E-006   4.2412205336825933E-004
   1900.0000000000000        1.9843530823044300        1.9842773479406783        7.5734363751641157E-005  0.52932073430819160       -9.5408793147669719E-006   4.1699598285675646E-004
   2000.0000000000000        1.9844336896261601        1.9843637992822967        6.9890343863300623E-005  0.48847585563789242       -9.4741034166131563E-006   4.2014145625464481E-004
   2100.0000000000000        1.9843897595097111        1.9843160473556130        7.3712154098192812E-005  0.51518715681886862       -9.4476123556016128E-006   4.1592219452810239E-004
   2200.0000000000000        1.9843595516858012        1.9842860910219413        7.3460663859950293E-005  0.51342944749137742       -9.5079361548629924E-006   4.1383935223755254E-004
   2300.0000000000000        1.9842041050101440        1.9841322280743818        7.1876935762250836E-005  0.50236049440202601       -9.4667899249231990E-006   4.1661853101194904E-004
   2400.0000000000000        1.9837451264357882        1.9836722610250748        7.2865410713305218E-005  0.50926911898165772       -9.4606197747322723E-006   4.1754359468039286E-004
   2500.0000000000000        1.9837801552484953        1.9837078015861331        7.2353662362061619E-005  0.50569242011415860       -9.4609116019793001E-006   4.1763877160796325E-004
   2600.0000000000000        1.9837500170819522        1.9836765532825631        7.3463799389000237E-005  0.51345136225314403       -9.4573285785227881E-006   4.1670730538303558E-004
   2700.0000000000000        1.9834868921626203        1.9834133609573708        7.3531205249523403E-005  0.51392247361952192       -9.4753171995193989E-006   4.1975391472462740E-004
   2800.0000000000000        1.9838213043581199        1.9837503205654270        7.0983792692941297E-005  0.49611816104276607       -9.4431861241065471E-006   4.2704130831379194E-004
   2900.0000000000000        1.9837784140901304        1.9837067575822112        7.1656507919196089E-005  0.50081988559556223       -9.4200686256756899E-006   4.2703344146596470E-004
   3000.0000000000000        1.9839068993258573        1.9838339389410378        7.2960384819476340E-005  0.50993290964587490       -9.4587441779971876E-006   4.2147188335565959E-004
   3100.0000000000000        1.9840088032278511        1.9839371362427352        7.1666985115916414E-005  0.50089311255868407       -9.4650946437028920E-006   4.1863736760314380E-004
   3200.0000000000000        1.9846114735498390        1.9845385478066777        7.2925743161406692E-005  0.50969079302960263       -9.4652141592654981E-006   4.1158809947217339E-004
   3300.0000000000000        1.9846794406016506        1.9846063137932497        7.3126808400834505E-005  0.51109607320765760       -9.4906693183086041E-006   4.0361145983807989E-004
   3400.0000000000000        1.9847658483248933        1.9846927506424046        7.3097682488765787E-005  0.51089250710635425       -9.4789087922868212E-006   3.9918863633630941E-004
   3500.0000000000000        1.9846454160105040        1.9845709046761322        7.4511334371878281E-005  0.52077276774047154       -9.5024460507621999E-006   3.9968048510292405E-004
   3600.0000000000000        1.9842720066264450        1.9841989133158968        7.3093310548171217E-005  0.51086195084772557       -9.4989031494261644E-006   4.0657534284487337E-004
